Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
0001d123420b59585627edf5a1292ae8	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Microvirga	0.99963306922786
0005f069926e3f73c02ce8b0f3a7840f	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Flavisolibacter	0.999524503111661
0032ab5da12fadd744023dc9bbba5169	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__A21b;D_5__uncultured Rhodocyclaceae bacterium;D_6__uncultured Rhodocyclaceae bacterium	0.73822650725235
00360e9b675235e3ba5f1e6cf402cd73	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__SC-I-84	0.999999740505574
00590ce105e930e2e654cc5d5bd12b23	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales;D_4__Pedosphaeraceae	0.999999999983648
0086e8dc87f9c9274ff29fa5192ab940	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales;D_4__Parachlamydiaceae;D_5__uncultured;D_6__metagenome	0.985654730326295
00b3b2150e42e194ffe3b073aea99750	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfarculales;D_4__Desulfarculaceae;D_5__uncultured;D_6__delta proteobacterium WX81	0.998870234065878
00b7b809f5007592758c652e6c5611ee	D_0__Bacteria;D_1__Rokubacteria;D_2__NC10;D_3__Rokubacteriales;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.928088018911167
00beb7649217ae97949238a4c543a8c6	D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia;D_3__unidentified;D_4__unidentified;D_5__unidentified;D_6__unidentified	0.999998804354438
00c905253e84aab5042613bcc22d568c	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Caenimonas	0.730666397786303
00d9ed79fc1dfc8b6791289c89d5e84f	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6	0.999999999992575
00f397ceac2f0ef17e92e11b44da2f48	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas	0.99300021883147
01049ed06541016700a76a558da23604	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas	0.998726548660738
0120687216806e6cc98f80f2e7b76f24	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Opitutaceae;D_5__Opitutus	0.802902202534145
0120e49ae6ea4a9a8fde3869a578874f	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__SC-I-84	0.999998896777072
0123d8b434936043aa0085485a5a8914	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__LD29;D_6__uncultured bacterium	0.723743966436976
013da8100612304a5c5969e87b75dec8	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6	0.999999998742396
01784452cef9e81e1814fb6423bd2acb	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__Ohtaekwangia;D_6__metagenome	0.989469991818355
018769d57d4f0913142047d513ef71bf	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Coxiellales;D_4__Coxiellaceae;D_5__Coxiella	0.997838383651181
01f65e98eaa4cd42634275650c5abf71	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Haliangiaceae;D_5__Haliangium	0.999936181878954
01f8657b904bb95f8d876166cbbd3ecb	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__KF-JG30-B3;D_5__uncultured bacterium;D_6__uncultured bacterium	0.794276088375103
02168ccfc210ea506756c782dda04d73	D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured soil bacterium;D_4__uncultured soil bacterium;D_5__uncultured soil bacterium;D_6__uncultured soil bacterium	0.980341127304126
021c10d0f846e66277dfe2cd34d3a3e7	D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage IV;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.999365928736686
